"date","production","development"
"10-08-2011 23:36:38",21,34
"10-09-2011 00:33:36",22,35
"10-09-2011 00:33:36",21,34
"10-10-2011 23:07:40",21,34
"10-10-2011 23:20:01",21,34
"10-14-2011 13:57:45",21,34
"10-15-2011 18:56:53",22,35
"10-21-2011 14:35:42",22,35
"10-22-2011 06:06:38",23,36
"10-26-2011 02:15:59",22,35
"10-26-2011 23:23:04",22,35
"10-27-2011 15:44:29",21,34
"10-27-2011 15:47:39",21,34
"10-27-2011 21:37:17",22,35
"10-31-2011 13:20:41",22,36
"11-04-2011 08:44:43",23,37
"11-09-2011 19:50:58",23,37
"11-16-2011 15:57:37",23,37
"11-16-2011 19:05:00",23,37
"11-20-2011 21:32:12",24,38
"11-23-2011 13:27:06",24,38
"11-27-2011 14:11:47",27,38
"11-28-2011 10:34:11",28,39
"12-04-2011 00:08:08",29,40
"12-05-2011 21:08:21",29,40
"12-06-2011 00:03:05",28,39
"12-12-2011 23:03:38",29,40
"12-14-2011 17:38:52",31,42
"12-29-2011 04:52:28",31,42
"12-30-2011 11:30:57",31,42
"12-30-2011 15:25:45",31,42
"01-11-2012 15:37:34",33,44
"01-11-2012 18:26:40",32,43
"01-11-2012 23:33:54",31,42
"01-11-2012 23:42:17",33,44
"01-19-2012 20:03:15",34,45
"01-26-2012 08:51:11",35,46
"01-28-2012 11:11:21",35,46
"01-29-2012 23:45:35",36,47
"02-11-2012 19:34:25",36,47
"02-13-2012 06:43:58",32,47
"02-18-2012 16:37:58",32,47
"02-28-2012 22:17:12",32,47
"02-29-2012 21:38:24",33,48
"03-01-2012 20:02:59",33,48
"03-06-2012 18:54:59",35,50
"03-10-2012 16:48:29",36,51
"03-13-2012 19:57:59",36,51
"03-28-2012 09:44:51",37,52
"04-10-2012 07:51:08",37,52
"04-20-2012 23:01:45",37,52
"04-20-2012 23:21:12",38,53
"04-21-2012 00:26:22",38,53
"04-21-2012 00:44:15",38,53
"04-21-2012 00:48:03",38,53
"04-26-2012 19:43:12",38,53
"05-10-2012 23:46:07",38,53
"05-12-2012 11:01:09",39,54
"05-12-2012 20:02:13",39,54
"05-15-2012 18:35:18",39,54
"05-16-2012 04:35:53",39,55
"05-19-2012 09:33:19",39,55
"05-21-2012 22:17:41",39,55
"05-28-2012 23:35:50",39,55
"05-29-2012 14:22:26",37,53
"05-29-2012 14:35:34",37,53
"05-29-2012 14:50:10",38,54
"05-29-2012 15:45:18",41,57
"06-03-2012 11:51:54",41,57
"06-08-2012 12:28:19",41,57
"06-11-2012 12:55:38",40,56
"06-15-2012 06:15:28",40,58
"06-19-2012 22:24:07",40,58
"06-20-2012 12:45:26",40,58
"06-20-2012 20:09:46",40,59
"06-22-2012 10:57:05",40,58
"06-22-2012 11:00:09",40,58
"06-24-2012 08:33:22",40,59
"06-26-2012 09:55:25",40,59
"06-27-2012 20:20:35",40,59
"06-28-2012 12:42:58",41,60
"06-29-2012 04:52:09",41,60
"06-29-2012 12:49:36",41,60
"06-29-2012 13:25:20",42,61
"06-29-2012 20:55:22",43,62
"07-02-2012 20:51:48",44,63
"07-06-2012 08:50:24",44,63
"07-18-2012 23:25:10",44,63
"07-21-2012 10:04:05",44,63
"07-24-2012 20:41:26",45,64
"07-28-2012 04:18:04",45,64
"07-31-2012 16:32:44",44,63
"08-02-2012 08:48:53",44,64
"08-11-2012 21:48:55",44,64
"08-11-2012 21:59:56",44,64
"08-11-2012 22:33:49",44,65
"08-17-2012 08:09:11",42,63
"08-17-2012 15:20:55",48,69
"08-19-2012 10:36:37",42,64
"08-23-2012 07:15:30",43,65
"08-23-2012 07:28:00",43,65
"08-24-2012 01:20:28",43,64
"08-24-2012 01:21:20",43,64
"08-24-2012 01:21:55",43,62
"08-24-2012 02:11:37",43,65
"08-24-2012 10:29:52",43,62
"08-24-2012 15:25:52",47,66
"09-05-2012 22:50:03",44,64
"09-05-2012 23:02:23",44,64
"08-29-2012 02:30:50",43,63
"08-30-2012 21:48:01",43,63
"09-03-2012 20:46:17",43,64
"09-10-2012 08:19:15",44,65
"09-10-2012 08:26:35",44,66
"09-10-2012 08:41:51",44,67
"09-10-2012 08:43:30",44,67
"09-10-2012 09:42:36",44,68
"09-10-2012 15:40:57",44,66
"09-10-2012 15:43:49",44,67
"09-12-2012 05:49:52",48,71
"09-20-2012 09:25:29",48,72
"09-23-2012 17:53:48",49,72
"09-26-2012 15:14:47",49,73
"09-26-2012 22:32:21",49,73
"09-27-2012 16:00:13",49,73
"10-02-2012 15:29:03",49,73
"10-10-2012 01:58:34",50,74
"10-13-2012 18:13:28",50,75
"10-16-2012 20:27:44",51,76
"10-17-2012 21:01:27",51,76
"10-18-2012 01:10:35",52,77
"10-31-2012 12:53:38",52,77
"11-01-2012 21:45:31",52,78
"11-08-2012 15:47:12",52,78
"11-08-2012 18:59:14",52,78
"11-09-2012 14:17:50",52,78
"11-10-2012 10:47:30",52,78
"11-10-2012 17:30:22",52,78
"11-14-2012 12:14:46",52,78
"11-16-2012 11:27:39",52,77
"11-16-2012 12:46:43",52,77
"11-18-2012 21:51:53",52,77
"11-20-2012 19:01:25",52,77
"11-21-2012 11:45:15",52,77
"11-23-2012 21:55:38",52,77
"11-27-2012 21:36:09",51,76
"11-28-2012 10:32:06",51,76
"11-28-2012 10:45:33",51,76
"11-30-2012 22:08:08",51,76
"12-05-2012 02:14:08",51,76
"12-06-2012 15:42:08",51,76
"12-18-2012 19:43:44",51,76
"12-25-2012 15:18:22",51,76
"12-25-2012 23:42:53",51,78
"12-26-2012 10:23:43",51,78
"12-30-2012 13:43:00",51,79
"12-30-2012 13:54:08",51,79
"12-30-2012 14:15:56",51,79
"01-03-2013 20:09:18",51,80
"01-04-2013 13:59:08",51,79
"01-04-2013 13:59:08",51,79
"01-05-2013 12:30:42",51,80
"01-05-2013 22:17:50",51,80
"01-09-2013 10:07:55",51,80
"01-09-2013 06:14:05",53,81
"01-09-2013 06:44:05",52,80
"01-10-2013 07:43:25",52,80
"01-14-2013 19:21:04",51,79
"01-19-2013 12:56:55",51,80
"02-04-2013 13:28:10",50,79
"02-08-2013 07:55:39",50,79
"02-11-2013 22:17:34",50,79
"02-18-2013 11:43:49",51,80
"02-21-2013 09:00:18",51,80
"02-21-2013 09:28:13",51,80
"02-21-2013 13:11:04",51,80
"02-25-2013 18:22:46",51,80
"02-25-2013 18:44:37",51,80
"02-26-2013 21:31:45",52,81
"02-28-2013 12:15:53",52,81
"02-28-2013 13:11:14",53,82
"02-28-2013 16:02:20",54,83
"02-28-2013 20:02:41",54,83
"03-01-2013 08:23:18",54,83
"03-01-2013 13:36:12",54,83
"03-01-2013 14:09:11",54,83
"03-01-2013 14:15:29",54,83
"03-02-2013 11:58:47",54,83
"03-03-2013 21:01:20",54,83
"03-03-2013 21:08:04",54,83
"03-04-2013 07:54:00",54,83
"03-04-2013 07:56:54",54,83
"03-06-2013 16:30:48",55,84
"03-06-2013 17:55:11",54,83
"03-06-2013 19:22:45",55,84
"03-10-2013 01:39:51",56,85
"03-10-2013 19:26:27",55,85
"03-13-2013 22:19:09",56,86
"03-15-2013 15:55:07",57,87
"03-15-2013 17:05:02",57,87
"03-19-2013 17:52:17",57,87
"03-22-2013 16:31:19",57,87
"03-25-2013 18:12:29",57,87
"03-26-2013 10:38:42",57,88
"03-27-2013 21:21:32",57,88
"03-28-2013 20:57:38",58,89
"03-28-2013 22:01:42",57,88
"03-29-2013 07:47:14",57,88
"03-30-2013 11:50:44",57,88
"03-30-2013 15:35:19",57,88
"04-04-2013 09:55:43",56,88
"04-04-2013 22:19:24",56,88
"04-05-2013 20:21:53",55,87
"04-11-2013 08:39:49",54,86
"04-11-2013 09:45:18",54,86
"04-11-2013 10:03:57",53,85
"04-27-2013 22:50:17",54,86
"04-27-2013 23:04:03",54,86
"04-28-2013 20:03:27",53,85
"04-28-2013 20:27:49",53,85
"04-28-2013 22:10:10",53,85
"04-29-2013 08:15:18",53,85
"04-29-2013 09:10:45",55,87
"05-01-2013 11:41:37",56,88
