"Date","Total issues","Total open issues","Open installation issues","New installation issues","Open dependency issues","New dependency issues"
2011-10-01,69,69,7,7,0,0
2011-11-01,92,117,12,10,4,4
2011-12-01,92,131,18,14,3,2
2012-01-01,108,181,36,24,8,7
2012-02-01,127,255,36,14,6,2
2012-03-01,138,316,44,16,11,6
2012-04-01,136,311,47,21,10,4
2012-05-01,114,316,49,19,12,7
2012-06-01,147,371,44,12,7,1
2012-07-01,154,277,31,21,5,4
2012-08-01,174,354,39,19,4,1
2012-09-01,251,469,67,37,11,8
2012-10-01,291,563,96,52,15,11
2012-11-01,242,603,105,46,20,14
2012-12-01,314,727,120,48,18,11
2013-01-01,421,803,111,59,28,21
2013-02-01,244,723,101,43,20,11
2013-03-01,345,757,110,59,21,16
2013-04-01,331,807,119,53,21,14
2013-05-01,363,796,119,54,26,16
2013-06-01,110,500,59,9,13,3
